id,nombre,distrito,lat,lon,x_m,y_m,altitud_m,col,fila,funerario
75,Alcamarin Pünqu Montículo 1,juli,-16.242381505,-69.500780404,-4060.8,-757.6,3849.8,759,820,False
76,Alcamarin Pünqu Montículo 2,juli,-16.242300965,-69.500433976,-4023.8,-748.6,3848.5,760,820,False
77,Apiluyo,juli,-16.242752399,-69.500669054,-4048.9,-798.8,3850.7,759,821,False
78,Qolpajavira  Montículo 1,juli,-16.242861471,-69.500416678,-4022.0,-810.9,3851.1,760,822,False
79,Qolpajavira Montículo 2,juli,-16.242932464,-69.500978305,-4081.9,-818.8,3853.6,758,822,False
80,Qolpajavira Montículo 3,juli,-16.243240035,-69.500885509,-4072.0,-853.0,3853.8,759,823,False
81,Alatauyo  Naironaque 3,juli,-16.21810281,-69.451429892,1207.9,1942.1,3996.1,937,732,False
82,Santa Bárbara,juli,-16.219455174,-69.453126484,1026.8,1791.7,4009.9,930,737,False
83,Olla  Colina,juli,-16.181864949,-69.432600743,3218.1,5971.6,3856.0,1004,602,False
84,Coyaputunku  Yacari,juli,-16.232794221,-69.442050167,2209.3,308.5,4138.6,970,785,False
85,Anko Vilque,juli,-16.235067374,-69.440052807,2422.5,55.7,4130.5,977,793,False
86,Takaya  Anko Vilque,juli,-16.232945299,-69.43455549,3009.4,291.7,4081.5,997,786,False
87,Quebrada de Takaya,juli,-16.231915316,-69.434281876,3038.6,406.2,4067.9,998,782,False
88,Gentilmoko  Yacari,juli,-16.232183511,-69.444462918,1951.7,376.4,4144.1,962,783,True
89,Suancata -Murallas,juli,-16.215422286,-69.527976097,-6964.2,2240.2,4099.6,661,723,False
90,Anko Vilque  Montículo,juli,-16.232128356,-69.436191179,2834.8,382.5,4088.7,991,783,False
91,Julipünqu de Caspapatac,juli,-16.243406038,-69.499491663,-3923.2,-871.5,3850.5,764,824,False
92,Caspapatac Tumba,juli,-16.243116041,-69.499799728,-3956.1,-839.2,3849.6,762,822,False
93,Caspapatac Montículo 1,juli,-16.242800466,-69.499452704,-3919.0,-804.1,3846.7,764,821,False
94,Caspapatac Montículo 2,juli,-16.242937405,-69.498882244,-3858.1,-819.4,3846.9,766,822,False
95,Caspapatac Montículo 3,juli,-16.243046564,-69.498592437,-3827.2,-831.5,3845.3,767,822,False
96,Maycopünqu Jisk'a,juli,-16.239141822,-69.498404813,-3807.2,-397.3,3837.6,767,808,False
97,Maycopünqu Jach`a,juli,-16.23955844,-69.498068998,-3771.3,-443.6,3835.9,769,810,False
98,Mayco Pünqu 1,juli,-16.238816215,-69.498478852,-3815.1,-361.1,3836.6,767,807,False
99,Mayco Pünqu 2,juli,-16.238445543,-69.498496633,-3817.0,-319.9,3835.8,767,806,False
100,Hacienda Castillo,juli,-16.234478589,-69.493985891,-3335.4,121.2,3823.5,783,791,False
101,Carpuyo Montículo 1,juli,-16.241238927,-69.49845688,-3812.7,-630.5,3843.2,767,816,False
102,Carpuyo Montículo 2,juli,-16.241546982,-69.498158219,-3780.8,-664.8,3841.7,768,817,False
103,Hiropünqu,juli,-16.229868476,-69.493908895,-3327.2,633.8,3819.9,784,775,False
104,Río Salado Montículo 1,juli,-16.227229263,-69.493733894,-3308.5,927.3,3820.7,784,765,False
105,Río Salado Montículo 2,juli,-16.225058049,-69.494448944,-3384.8,1168.7,3819.5,782,757,False
106,Jacha Pünqu y Jiska Pünqu,juli,-16.215511975,-69.490570383,-2970.8,2230.2,3816.1,796,723,False
107,Hiropalca  Causilla,juli,-16.216397958,-69.49053515,-2967.0,2131.7,3817.1,796,726,False
108,Hiropalca Tumba,juli,-16.216622286,-69.491256136,-3044.0,2106.7,3815.6,793,727,False
109,Kalatirawe Monolito,juli,-16.217181583,-69.487842483,-2679.5,2044.5,3816.1,805,729,False
110,Kalatirawe Montículo,juli,-16.217227319,-69.487608689,-2654.6,2039.5,3815.8,806,729,False
111,Kalatirawe,juli,-16.217397635,-69.488235979,-2721.5,2020.5,3816.0,804,730,False
112,Hiropalca Montículo,juli,-16.21053721,-69.491811774,-3103.3,2783.4,3813.8,791,705,False
113,Tisnachuro Central Chullpa 1,juli,-16.273073889,-69.45987542,306.3,-4170.4,4019.1,906,930,True
114,Tisnachuro Central  Chullpa 2,juli,-16.271742869,-69.460873722,199.7,-4022.4,4004.9,903,926,True
115,Tisnachuro Central Montículo 1,juli,-16.270797132,-69.459289872,368.8,-3917.2,3984.2,908,922,False
116,Tisnachuro Central Montículo 2,juli,-16.270689264,-69.459008855,398.8,-3905.2,3985.0,909,922,False
117,Wilamoko Pampa,juli,-16.250687426,-69.461676204,114.0,-1681.1,3879.2,900,850,False
118,Willamoco de Tisnachuro  Vista Azul,juli,-16.250612638,-69.462808334,-6.9,-1672.8,3875.4,896,849,False
119,Wilamoko Tumba,juli,-16.251123878,-69.460507485,238.8,-1729.7,3880.6,904,851,False
120,Wilamoko Ccamaq Apacheta - Cementerio,juli,-16.250893458,-69.466664441,-418.5,-1704.0,3867.8,882,850,False
121,Wilamoko Ccamaq Apacheta -Tumba,juli,-16.250525359,-69.465512555,-295.6,-1663.1,3862.5,886,849,False
122,Tirincollo,juli,-16.208047156,-69.477762479,-1603.4,3060.2,3829.3,842,696,False
123,Yacari Murallas,juli,-16.236077309,-69.445594522,1830.9,-56.6,4232.4,958,797,False
124,Wilq´e,juli,-16.228082643,-69.447232696,1656.0,832.4,4124.3,952,768,False
