id,nombre,distrito,lat,lon,x_m,y_m,altitud_m,col,fila,funerario
168,Hanko Ankoni Callejón,pomata,-16.267545646,-69.301727541,17190.2,-3555.7,3944.5,1475,910,False
169,Tococawa,pomata,-16.261044366,-69.309082772,16405.0,-2832.8,3938.0,1449,887,False
170,Asirune Chullpa 1,pomata,-16.2717595,-69.31332045,15952.5,-4024.2,3868.7,1434,926,True
171,"Asirune Chullpas 2,3 y 4",pomata,-16.27371941,-69.314502808,15826.3,-4242.2,3860.3,1429,933,True
172,Asirune Chullpa 5,pomata,-16.272788509,-69.31436094,15841.5,-4138.7,3842.4,1430,929,True
173,Asirune Chullpa 6,pomata,-16.273465361,-69.315129463,15759.4,-4213.9,3844.3,1427,932,True
174,Asirune Chullpa 7,pomata,-16.271884671,-69.314256552,15852.6,-4038.2,3839.2,1430,926,True
175,Pichuña Chullpa 1,pomata,-16.279688667,-69.318602369,15388.6,-4905.9,3875.0,1415,954,True
176,Pichuña Chullpa 2,pomata,-16.278847421,-69.318956667,15350.8,-4812.4,3872.9,1413,951,True
177,Tococawa  Terrazas,pomata,-16.263187032,-69.308945744,16419.6,-3071.0,3882.3,1449,895,False
178,Orocollo Terrazas,pomata,-16.271975875,-69.313713874,15910.5,-4048.3,3852.8,1432,926,False
179,Tanapaca Pucara,pomata,-16.314432187,-69.37706189,9147.5,-8769.2,4643.6,1204,1079,False
