nombre,provincia,distrito,lat,lon,fuente,funerario
Sanchiputo,chucuito,juli,-16.187109204,-69.418486229,INC,False
Huayllune,chucuito,juli,-16.188535976,-69.400499559,INC,False
Tumuko,chucuito,juli,-16.193949398,-69.415413409,INC,False
Ccayuchawi,chucuito,juli,-16.191918017,-69.414080727,INC,False
Tipata,chucuito,juli,-16.189748467,-69.414066848,INC,False
Wilaponko,chucuito,juli,-16.187259801,-69.415446191,INC,False
Calamar Wichinka,chucuito,juli,-16.18502318,-69.41736861,INC,False
Conventillo,chucuito,juli,-16.190378346,-69.442451454,INC,False
Pisirapi - Maqueta,chucuito,juli,-16.190494305,-69.438840657,INC,False
Pisirapi - Cementerio,chucuito,juli,-16.190293922,-69.439569909,INC,False
Conventillo  - Cementerio 1,chucuito,juli,-16.189839393,-69.440794412,INC,False
Conventillo Chullpa,chucuito,juli,-16.191044819,-69.443641035,INC,True
Conventillo Cementerio 2,chucuito,juli,-16.191875762,-69.443989031,INC,False
Viento Uta,chucuito,juli,-16.197638321,-69.396130215,INC,False
Putukopata,chucuito,juli,-16.197516316,-69.393678846,INC,False
Pata Pata,chucuito,juli,-16.198349284,-69.392978836,INC,False
Kalachuhuaniparke,chucuito,juli,-16.196042849,-69.393657212,INC,False
Tasak Parke,chucuito,juli,-16.206685868,-69.451244855,INC,False
Apacheta,chucuito,juli,-16.203280082,-69.41925006,INC,False
Mulla,chucuito,juli,-16.176528813,-69.540510328,INC,False
Contiuyo,chucuito,juli,-16.179478537,-69.542978563,INC,False
Ccoroskani,chucuito,juli,-16.177916041,-69.538877087,INC,False
Chocchoni,chucuito,juli,-16.186953322,-69.532690018,INC,False
Cutini  Montículo Artificial 1,chucuito,juli,-16.191558352,-69.531177503,INC,False
Cutini Montículo Artificial 2,chucuito,juli,-16.191741038,-69.530420235,INC,False
Yacari Tuntachawi  Chullpa1,chucuito,juli,-16.238632478,-69.459757905,INC,True
Yacari Tuntachawi  Chullpa 2,chucuito,juli,-16.238622059,-69.460394177,INC,True
Yacari Tuntachawi  Chullpa 3,chucuito,juli,-16.240599044,-69.461652669,INC,True
Santiago Chambilla  Montículo Artificial 1,chucuito,juli,-16.185400425,-69.524631439,INC,False
Santiago Chambilla  Montículo Artificial 2,chucuito,juli,-16.185457359,-69.523537086,INC,False
Santiago Chambilla - Montículo Artificial 3,chucuito,juli,-16.203891407,-69.515352763,INC,False
Inca Samaña,chucuito,juli,-16.214278185,-69.519037985,INC,False
Siquejaque,chucuito,juli,-16.215580571,-69.52245639,INC,False
Anko Ake,chucuito,juli,-16.280636899,-69.48563108,INC,False
Umahalso,chucuito,juli,-16.276825658,-69.484086815,INC,False
Sivincata,chucuito,juli,-16.275732366,-69.483859518,INC,False
Kanllacirca - Anko Ake,chucuito,juli,-16.26696894,-69.485560042,INC,False
Sullicane,chucuito,juli,-16.248707277,-69.482174478,INC,False
Palermo,chucuito,juli,-16.234776181,-69.482514827,INC,False
Pampa Palermo,chucuito,juli,-16.233452726,-69.488060329,INC,False
Qanllapünqu,chucuito,juli,-16.248201512,-69.501459531,INC,False
Caspa Qolpajavira,chucuito,juli,-16.247693184,-69.502347224,INC,False
Patjatapatja Colina 1,chucuito,juli,-16.247039239,-69.503646279,INC,False
Patjatapatja Colina 1 - Estructura,chucuito,juli,-16.245566055,-69.503520881,INC,False
Patjatapatja Colina 1 - Cementerio,chucuito,juli,-16.246225576,-69.503681638,INC,False
Patjatapatja Colina 2,chucuito,juli,-16.248058502,-69.504584644,INC,False
Hanko Pünqu,chucuito,juli,-16.249441443,-69.504644318,INC,False
Taypiqollo,chucuito,juli,-16.248476892,-69.507299453,INC,False
Colle Pünqu,chucuito,juli,-16.245473154,-69.508358516,INC,False
Capilla Pünqu,chucuito,juli,-16.245743199,-69.505055977,INC,False
Arpünqu,chucuito,juli,-16.2431101,-69.50611601,INC,False
Umajalaca Muluyo,chucuito,juli,-16.244002673,-69.51087191,INC,False
Luluchinapünqu,chucuito,juli,-16.245285454,-69.511230809,INC,False
Morocollo Jisk`a y Morocollo Jach`a,chucuito,juli,-16.244317123,-69.511677468,INC,False
Qanllapünqu  Sikecaballune,chucuito,juli,-16.241582632,-69.513532521,INC,False
Urno Parque,chucuito,juli,-16.242776933,-69.516820083,INC,False
Quinsa Pünqu Montículo 1,chucuito,juli,-16.238209372,-69.514122633,INC,False
Quinsa Pünqu Montículo 2,chucuito,juli,-16.238091016,-69.514468543,INC,False
Quinsa Pünqu Montículo 3,chucuito,juli,-16.237856574,-69.514224646,INC,False
Asiruni Pünqu,chucuito,juli,-16.238368908,-69.515433061,INC,False
Crucero,chucuito,juli,-16.23868656,-69.511176336,INC,False
Huerta Parque,chucuito,juli,-16.241841936,-69.510969264,INC,False
Julipünqu,chucuito,juli,-16.239624956,-69.508137635,INC,False
Alcamarin Pünqu Montículo 1,chucuito,juli,-16.242381505,-69.500780404,INC,False
Alcamarin Pünqu Montículo 2,chucuito,juli,-16.242300965,-69.500433976,INC,False
Apiluyo,chucuito,juli,-16.242752399,-69.500669054,INC,False
